atmosphere,diameter,distance_from_sun,mass,name,orbital_period,rotation_period,surface_temperature,type,description,notable_features
"Virtually none, extremely thin",4879 km,57.9 million km,3.3011e23 kg,Mercury,88 Earth days,58.6 Earth days,-173 C to 427 C,planet,Mercury is the smallest and innermost planet in the Solar System.,Mercury has no moons
"Very dense, 96% carbon dioxide",12104 km,108.2 million km,4.8675e24 kg,Venus,225 Earth days,243 Earth days (retrograde),462 C (average),planet,Venus is the second planet from the Sun.,Venus has a thick atmosphere of carbon dioxide and sulfuric acid clouds
"78% nitrogen, 21% oxygen, 1% other gases",12742 km,149.6 million km,5.9724e24 kg,Earth,365.25 days,23.9 hours,-88 C to 58 C,planet,Earth is the third planet from the Sun.,Earth has one moon, the Moon
"Thin, 95% carbon dioxide",6792 km,227.9 million km,6.4171e23 kg,Mars,687 Earth days,24.6 hours,-153 C to 20 C,planet,Mars is the fourth planet from the Sun.,Mars has two moons, Phobos and Deimos
Hydrogen and helium,139820 km,778.5 million km,1.898e27 kg,Jupiter,11.9 Earth years,9.9 hours,-145 C (cloud tops),planet,Jupiter is the fifth planet from the Sun.,Jupiter has 79 known moons
"Hydrogen and helium, with traces of ammonia and methane",116460 km,1.4 billion km,5.6834e26 kg,Saturn,29.5 Earth years,10.7 hours,-178 C (cloud tops),planet,Saturn is the sixth planet from the Sun.,Saturn has 82 known moons
"Hydrogen, helium, and methane",50724 km,2.9 billion km,8.6810e25 kg,Uranus,84 Earth years,17.2 hours (retrograde),-224 C (cloud tops),planet,Uranus is the seventh planet from the Sun.,Uranus has 27 known moons
"Hydrogen, helium, and methane",49244 km,4.5 billion km,1.02413e26 kg,Neptune,165 Earth years,16.1 hours,-218 C (cloud tops),planet,Neptune is the eighth and farthest known planet from the Sun.,Neptune has 14 known moons
"Thin, nitrogen with traces of methane and carbon monoxide",2377 km,5.9 billion km (average),1.303e22 kg,Pluto,248 Earth years,6.4 Earth days (retrograde),-229 C (average),dwarf planet,Pluto is a dwarf planet in the Kuiper belt. It was classified as the ninth planet from the Sun until 2006.,Pluto has 5 known moons including Charon
Possible thin methane atmosphere,2326 km,10.1 billion km (average),1.66e22 kg,Eris,557 Earth years,25.9 hours,-243 C (average),dwarf planet,Eris is the most massive and second-largest known dwarf planet in the Solar System.,Eris has one known moon called Dysnomia
None detected,"1632 km (average, elongated shape)",6.4 billion km (average),4.01e21 kg,Haumea,283 Earth years,3.9 hours,-241 C (average),dwarf planet,Haumea is a dwarf planet in the Kuiper belt.,Haumea has 2 known moons
Pluto,dwarf planet,2377 km,1.309 × 10^22 kg,5.9 billion km,248 Earth years,-230°C average,Pluto is a dwarf planet in the Kuiper belt.,Has 5 known moons including Charon
Ceres,dwarf planet,940 km,9.393 × 10^20 kg,413.7 million km,4.6 Earth years,-38°C average,Ceres is the largest object in the asteroid belt between Mars and Jupiter.,Contains significant amounts of ice and may have a liquid ocean beneath its surface
Eris,dwarf planet,2326 km,1.67 × 10^22 kg,10.1 billion km,557 Earth years,-230°C average,Eris is the most massive and second-largest known dwarf planet in the Solar System.,Has one known moon called Dysnomia
Halley's Comet,comet,11 km,2.2 × 10^14 kg,87.7 million km to 5.2 billion km,76 years,N/A,Halley's Comet is the most famous of the periodic comets and is visible from Earth every 76 years.,Last appeared in 1986 next appearance will be in 2061
Betelgeuse,star,370-550 million km,7.7-20 × solar masses,642.5 light years,N/A,3600°C surface,Betelgeuse is a red supergiant star in the constellation of Orion.,One of the largest known stars visible to the naked eye
Sirius,star,1.711 million km,2.02 × solar masses,8.6 light years,N/A,9940°C surface,Sirius is the brightest star in Earth's night sky.,Part of a binary star system with Sirius B
Andromeda Galaxy,galaxy,220000 light years,1.5 × 10^12 solar masses,2.537 million light years,N/A,N/A,The Andromeda Galaxy is the nearest large galaxy to the Milky Way.,Will collide with the Milky Way in about 4.5 billion years
Vega,star,2.362 million km,2.135 × solar masses,25 light years,N/A,9602°C surface,Vega is the brightest star in the constellation Lyra.,Was the North Star about 12000 years ago and will be again in about 13727
Europa,moon,3121.6 km,4.8 × 10^22 kg,778.5 million km,3.55 days,-160°C average,Europa is one of Jupiter's Galilean moons.,Has a smooth ice surface and possibly a liquid water ocean beneath
Titan,moon,5149.5 km,1.345 × 10^23 kg,1.4 billion km,15.9 days,-179°C average,Titan is Saturn's largest moon and the second-largest natural satellite in the Solar System.,Only moon known to have dense atmosphere and liquid surface
